icao24,manufacturername,model,typecode,owner,operatorcallsign,operatoriata
e490c8,Boeing,767 346F/W,B763,Latam Cargo Chile,LAN CARGO,
e803c4,Boeing,737 2Q3,B732,Aerovias Dap,DAP,
e90b04,Boeing,727 214F,B722,Air Class, S.A. de C.V.,
e47e5a,Embraer,Legacy 650,E35L,Empresa Brasileira De Aeronautica,EMBRAER,
e80415,Airbus,A320 233,A320,Latam Chile,LAN CHILE,LA
e80323,Airbus,A319 111,A319,Sku,AEROSKY,H2
e80215,Boeing,787 9,B789,Lan Airlines,LAN,LA
e4906b,Boeing,767 316ER/W,B763,Latam Brasil,TAM,JJ
e80412,Airbus,A320 233,A320,Latam Chile,LAN CHILE,LA
e481e9,Boeing,727 243F,B722,Total Linhas Aereas,TOTAL,
e8031a,Airbus,A319 111,A319,Sku,AEROSKY,H2
e80462,Airbus Industrie,A-320neo,A20N,Latam Chile,LAN CHILE,LA
e80602,Airbus,A320 232SL,A320,Jat,ROCKSMART,JA
e80313,Airbus,A320 233,A320,Sku,AEROSKY,H2
e80455,Airbus,A321 211SL,A321,Lan Airlines,LAN,LA
e80325,Airbus,A319 112,A319,Sku,AEROSKY,H2
e80214,Boeing,Boeing 787-9,B789,Latam Chile,LAN CHILE,LA
e8c053,Boeing,737 53C,B735,Peruvian Airlines,,P9
e94c4f,Boeing,737-8,B738,Boliviana De Aviación,BOLIVIANA,OB
e80411,Airbus,A320 233,A320,Latam Chile,LAN CHILE,LA
e075cc,Boeing,737NG 85F/W,B738,Andes Lineas Aereas,AEROANDES,
e400c2,Embraer,EMB.314 Super Tucano A-29B,E314,Brazilian Air Force,BRAZILIAN AIR FORCE,
e48265,Boeing,727 2M7F,B722,Total Linhas Aereas,TOTAL,
e8c059,Boeing,737 48E,B734,Peruvian Airlines,,P9
e4809d,Embraer,Phenom 100,E50P,Empresa Brasileira De Aeronautica,EMBRAER,
e495de,Embraer,E195-E2,E295,Azul Linhas Aéreas Brasileiras,Azul,AD
e40132,Embraer,Phenom 300,E55P,Empresa Brasileira De Aeronautica,EMBRAER,
e0814b,Airbus,A320 232,A320,Jat,ROCKSMART,JA
e400d4,Embraer,EMB-190 100,E190,Empresa Brasileira De Aeronautica,EMBRAER,
e8c075,Boeing,737 530,B735,Peruvian Airlines,,P9
e4015a,Embraer,EMB.314 Super Tucano A-29,E314,Brazilian Air Force,BRAZILIAN AIR FORCE,
e8020e,Airbus,A320 214SL,A320,Lan Airlines,LAN,LA
e90d08,Boeing,727 227F,B722,Aerosucre,AEROSUCRE,
e02506,Bombardier,Learjet 31 A,LJ31,Corporate Airlink,CORPORATE,
e0268a,Bombardier,Learjet 60 XR,LJ60,Corporate Airlink,CORPORATE,
e80321,Airbus,A319 111,A319,Sky Airline,AEROSKY,H2
e40172,Embraer,Legacy 650,E35L,Empresa Brasileira De Aeronautica,EMBRAER,
e40131,Embraer,Phenom 300,E55P,Empresa Brasileira De Aeronautica,EMBRAER,
e49443,Airbus Industrie,A-320neo,A20N,Azul Linhas Aéreas Brasileiras,Azul,AD
e80600,Airbus,A320 232SL,A320,Jat,ROCKSMART,JA
